試合日時（時刻含む）,Season,Kind,Week,Day,GameNumber,主審,後攻チーム,先攻チーム,プレイの番号,回,表/裏,,,,,out,,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦２,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果２,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,1番守備,1番氏名,2番守備,2番氏名,3番守備,3番氏名,4番守備,4番氏名,5番守備,5番氏名,6番守備,6番氏名,7番守備,7番氏名,8番守備,8番氏名,9番守備,9番氏名,投手氏名,1番守備,1番氏名,2番守備,2番氏名,3番守備,3番氏名,4番守備,4番氏名,5番守備,5番氏名,6番守備,6番氏名,7番守備,7番氏名,8番守備,8番氏名,9番守備,9番氏名,投手氏名,1番○打,1番タイプ,2番○打,2番タイプ,3番○打,3番タイプ,4番○打,4番タイプ,5番○打,5番タイプ,6番○打,6番タイプ,7番○打,7番タイプ,8番○打,8番タイプ,9番○打,9番タイプ,投手○投,投手背番号,1番○打,1番タイプ,2番○打,2番タイプ,3番○打,3番タイプ,4番○打,4番タイプ,5番○打,5番タイプ,6番○打,6番タイプ,7番○打,7番タイプ,8番○打,8番タイプ,9番○打,9番タイプ,投手○投,投手背番号,首振り,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,球種１,球種２,球種３,球種４,球種１,球種２,球種３,球種４,3,4,5,6,7,8,9,記録者,攻撃チーム,勝利チーム,得点チーム,投球数／打席,タイミング,リアクション,打者タイプ,クイック,牽制の強さ
2018/4/1 10:31,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,1,1,表,0,0,0,0,0,打席継続,イニング開始,試合開始,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,1,徳田優大,0,0,0,0,投球,17,24.55,239.05,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:32,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,2,1,表,0,0,0,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,2,徳田優大,0,0,0,0,投球,17,138,244.25,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:32,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,3,1,表,0,0,0,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,3,徳田優大,0,0,0,0,投球,19,51.9,157.35,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:32,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,4,1,表,0,0,1,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,4,徳田優大,0,0,0,0,投球,19,94.95,131.2,ストレート,ファール,0,0,カット,0,120.1,240.2,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:33,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,5,1,表,0,0,2,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,5,徳田優大,0,0,0,0,投球,17,107.45,242.65,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:33,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,6,1,表,0,0,2,3,0,打席完了,イニング継続,試合継続,0,0,0,0,0,0,1,上西嵐満,左,0,0,0,土井大輝,右,6,徳田優大,0,0,0,出塁,投球,17,125.15,90.55,ストレート,単打,0,8,ゴロ,0,130.95,97.2,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:33,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,7,1,表,0,0,0,0,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,0,0,0,土井大輝,右,7,徳田優大,継続,0,0,0,牽制,0,0,0,0,0,0,0,0,0,0,0,一塁牽制,ターン,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:34,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,8,1,表,0,0,0,0,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,0,0,0,土井大輝,右,7,徳田優大,継続,0,0,0,投球,19,151.7,35.4,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:34,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,9,1,表,0,0,0,1,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,0,0,0,土井大輝,右,8,徳田優大,継続,0,0,0,投球,19,170.6,245.1,ツーシーム,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:34,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,10,1,表,0,0,0,2,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,0,0,0,土井大輝,右,9,徳田優大,継続,0,0,0,牽制,0,0,0,0,0,0,0,0,0,0,0,一塁牽制,ターン,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:35,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,11,1,表,0,0,0,2,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,1バント,打の構えからバント,ボール,土井大輝,右,9,徳田優大,継続,0,0,0,投球,19,51.9,237.05,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:35,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,12,1,表,0,0,0,3,0,打席継続,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,1バント,打の構えからバント,見逃し,土井大輝,右,10,徳田優大,継続,0,0,0,投球,19,61.95,143.65,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:35,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,13,1,表,0,0,1,3,0,打席完了,イニング継続,試合継続,1,上西嵐満,0,0,0,0,2,大木惇司,右,1バント,打の構えからバント,四球,土井大輝,右,11,徳田優大,二進,0,0,出塁,投球,19,31.8,85.7,ストレート,四球,0,0,0,0,0,0,0,0,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,クイック,
2018/4/1 10:36,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,14,1,表,0,0,0,0,0,打席継続,イニング継続,試合継続,2,大木敦司,1,上西嵐満,0,0,3,船山貴大,右,1バント,打の構えからバント,ボール,土井大輝,右,12,徳田優大,継続,継続,0,0,投球,19,225.35,201.2,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,131,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:36,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,15,1,表,0,0,0,1,0,打席継続,イニング継続,試合継続,2,大木敦司,1,上西嵐満,0,0,3,船山貴大,右,1バント,打の構えからバント,ボール,土井大輝,右,13,徳田優大,継続,継続,0,0,投球,19,28.95,150.1,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,131,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:37,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,16,1,表,0,0,0,2,0,打席継続,イニング継続,試合継続,2,大木敦司,1,上西嵐満,0,0,3,船山貴大,右,1バント,打の構えからバント,見逃し,土井大輝,右,14,徳田優大,継続,継続,0,0,投球,19,87.35,170.2,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,130,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:37,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,17,1,表,0,0,1,2,0,打席継続,イニング継続,試合継続,2,大木敦司,1,上西嵐満,0,0,3,船山貴大,右,0,0,0,土井大輝,右,15,徳田優大,継続,継続,0,0,牽制,0,0,0,0,0,0,0,0,0,0,0,二塁牽制,６一発,0,0,0,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:38,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,18,1,表,0,0,1,2,0,打席継続,イニング継続,試合継続,2,大木敦司,1,上西嵐満,0,0,3,船山貴大,右,1バント,打の構えからバント,空振り,土井大輝,右,15,徳田優大,継続,三進,0,0,投球,19,189.15,157.75,ストレート,空振り,0,0,0,0,0,0,二塁牽制,捕手牽制,捕手悪送球,0,133,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:39,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,19,1,表,0,0,2,2,0,打席完了,イニング継続,試合継続,2,大木敦司,0,0,1,上西嵐満,3,船山貴大,右,0,0,0,土井大輝,右,16,徳田優大,封殺,0,本進,アウト,投球,19,173.45,160.15,ツーシーム,凡打死,0,4,ゴロ,0,153.35,143,0,0,0,0,133,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:39,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,20,1,表,1,0,0,0,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,4,高垣鋭次,右,0,0,0,土井大輝,右,17,徳田優大,0,0,0,0,投球,19,222.55,28.95,カーブ,ボール,0,0,0,0,0,0,0,0,0,0,110,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:39,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,21,1,表,1,0,0,1,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,4,高垣鋭次,右,0,0,0,土井大輝,右,18,徳田優大,0,0,0,0,投球,19,100.2,69.2,スライダー,ファール,0,0,ライナー,0,56,183.25,0,0,0,0,120,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:40,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,22,1,表,1,0,1,1,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,4,高垣鋭次,右,0,0,0,土井大輝,右,19,徳田優大,0,0,0,0,投球,19,219.7,222.15,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,131,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
2018/4/1 10:40,春季,リーグ戦,1,1,1,,桜美林大学,日本体育大学,23,1,表,1,0,1,2,2,打席継続,イニング継続,試合継続,0,0,0,0,0,0,4,高垣鋭次,右,0,0,0,土井大輝,右,20,徳田優大,0,0,0,0,投球,19,173.85,148.1,スライダー,ファール,0,0,カット,0,120.8,239.15,0,0,0,0,119,9,上西嵐満,3,大木惇司,6,船山貴大,4,高垣鋭次,7,有住隆哉,D,中村誠,8,宮木紳道,5,松下雄大,2,馬場龍星,松本航,8,石井雄也,7,井橋俊貴,6,五十嵐雅大,D,中村士朗,9,楢原一帆,4,片岡優斗,3,高橋啓太,5,山本司,2,徳田優大,土井大輝,左,,右,,右,,右,,左,,右,,左,,右,,右,,右,,右,,左,,右,,左,,左,,右,,右,,左,,右,,右,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高橋啓太,片岡優斗,山本司,五十嵐雅大,井橋俊貴,石井雄也,楢原一帆,,,,,,,,,0,
